iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
40300,,,7.5309,7.5309
40400,,,7.5309,7.5309
40500,,,7.5309,7.5309
40600,,,7.5309,7.5309
40700,,,7.5309,7.5309
40800,,,7.5309,7.5309
40900,,,7.5309,7.5309
41000,,,7.5309,7.5309
41100,,,7.5309,7.5309
41200,,,7.5309,7.5309
41300,,,7.5309,7.5309
41400,,,7.5309,7.5309
41500,,,7.5309,7.5309
41600,,,7.5309,7.5309
41700,,,7.5309,7.5309
41800,,,7.5309,7.5309
41900,,,7.5309,7.5309
42000,,,7.5309,7.5309
42100,,,7.5309,7.5309
42200,,,7.5309,7.5309
42300,,,7.5309,7.5309
42400,,,7.5309,7.5309
42500,,,7.5309,7.5309
42600,,,7.5309,7.5309
42700,,,7.5309,7.5309
42800,,,7.5309,7.5309
42900,,,7.5309,7.5309
43000,,,7.5309,7.5309
43100,,,7.5309,7.5309
43200,,,7.5309,7.5309
43300,,,7.5309,7.5309
43400,,,7.5309,7.5309
43500,,,7.5309,7.5309
43600,,,7.5309,7.5309
43700,,,7.5309,7.5309
43800,,,7.5309,7.5309
43900,,,7.5309,7.5309
44000,,,7.5309,7.5309
44100,,,7.5309,7.5309
44200,,,7.5309,7.5309
44300,,,7.5309,7.5309
44400,,,7.5309,7.5309
44500,,,7.5309,7.5309
44600,,,7.5309,7.5309
44700,,,7.5309,7.5309
44800,,,7.5309,7.5309
44900,,,7.5309,7.5309
45000,,,7.5309,7.5309
45100,,,7.5309,7.5309
45200,,,7.5309,7.5309
45300,,,7.5309,7.5309
45400,,,7.5309,7.5309
45500,,,7.5309,7.5309
45600,,,7.5309,7.5309
45700,,,7.5309,7.5309
45800,,,7.5309,7.5309
45900,,,7.5309,7.5309
46000,,,7.5309,7.5309
46100,,,7.5309,7.5309
46200,,,7.5309,7.5309
46300,,,7.5309,7.5309
46400,,,7.5309,7.5309
46500,,,7.5309,7.5309
46600,,,7.5309,7.5309
46700,,,7.5309,7.5309
46800,,,7.5309,7.5309
46900,,,7.5309,7.5309
47000,,,7.5309,7.5309
47100,,,7.5309,7.5309
47200,,,7.5309,7.5309
47300,,,7.5309,7.5309
47400,,,7.5309,7.5309
47500,,,7.5309,7.5309
47600,,,7.5309,7.5309
47700,,,7.5309,7.5309
47800,,,7.5309,7.5309
47900,,,7.5309,7.5309
48000,,,7.5309,7.5309
48100,,,7.5309,7.5309
48200,,,7.5309,7.5309
48300,,,7.5309,7.5309
48400,,,7.5309,7.5309
48500,,,7.5309,7.5309
48600,,,7.5309,7.5309
48700,,,7.5309,7.5309
48800,,,7.5309,7.5309
48900,,,7.5309,7.5309
49000,,,7.5309,7.5309
49100,,,7.5309,7.5309
49200,,,7.5309,7.5309
49300,,,7.5309,7.5309
49400,,,7.5309,7.5309
49500,,,7.4493,7.5309
49600,,,7.4493,7.5309
49700,,,7.4493,7.5309
49800,,,7.4493,7.5309
49900,,,7.2705,7.5309
50000,,,7.2705,7.5309
50100,,,7.2705,7.5309
50200,,,7.2705,7.5309
50300,,,7.2705,7.5309
50400,,,7.2705,7.5309
50500,,,7.2705,7.5309
50600,,,7.2705,7.5309
50700,,,7.2705,7.5309
50800,,,7.2705,7.5309
50900,,,7.2705,7.5309
51000,,,7.2705,7.5309
51100,,,7.2705,7.5309
51200,,,7.1880,7.5309
51300,,,7.1880,7.5309
51400,,,7.1880,7.5309
51500,,,7.1880,7.5309
51600,,,7.1160,7.5309
51700,,,7.1160,7.5309
51800,,,7.1160,7.5309
51900,,,7.1160,7.5309
52000,,,6.9953,7.5309
52100,,,6.9176,7.5309
52200,,,6.8831,7.5309
52300,,,6.8831,7.5309
52400,,,6.8831,7.5309
52500,,,6.8831,7.5309
52600,,,6.8831,7.5309
52700,,,6.8831,7.5309
52800,,,6.8831,7.5309
52900,,,6.8831,7.5309
53000,,,6.8831,7.5309
53100,,,6.8831,7.5309
53200,,,6.8831,7.5309
53300,,,6.8831,7.5309
53400,,,6.8831,7.5309
53500,,,6.8831,7.5309
53600,,,6.8831,7.5309
53700,,,6.8831,7.5309
53800,,,6.8831,7.5309
53900,,,6.8831,7.5309
54000,,,6.8831,7.5309
54100,,,6.8831,7.5309
54200,,,6.8831,7.5309
54300,,,6.8831,7.5309
54400,,,6.8831,7.5309
54500,,,6.8831,7.5309
54600,,,6.8831,7.5309
54700,,,6.8831,7.5309
54800,,,6.8831,7.5309
54900,,,6.8831,7.5309
55000,,,6.8831,7.5309
